path,crate_root,package,responsibility,kind,lines,inline_test_modules,test_attributes,proposed_container_path
driver/adapters/embassy/esp32s31-bluetooth/src/lib.rs,driver/adapters/embassy/esp32s31-bluetooth,open-esp-radio-esp32s31-bluetooth-embassy,embassy-adapter-runtime,rust,559,1,9,driver/adapters/embassy/esp32s31/bluetooth/src/lib.rs
driver/adapters/embassy/esp32s31-bluetooth/src/modem_timer_task.rs,driver/adapters/embassy/esp32s31-bluetooth,open-esp-radio-esp32s31-bluetooth-embassy,embassy-adapter-runtime,rust,355,1,4,driver/adapters/embassy/esp32s31/bluetooth/src/modem_timer_task.rs
driver/adapters/embassy/esp32s31-bluetooth/src/passive_scanning_active.rs,driver/adapters/embassy/esp32s31-bluetooth,open-esp-radio-esp32s31-bluetooth-embassy,embassy-adapter-runtime,rust,86,0,0,driver/adapters/embassy/esp32s31/bluetooth/src/passive_scanning_active.rs
driver/adapters/embassy/esp32s31-bluetooth/src/passive_scanning_first.rs,driver/adapters/embassy/esp32s31-bluetooth,open-esp-radio-esp32s31-bluetooth-embassy,embassy-adapter-runtime,rust,87,0,0,driver/adapters/embassy/esp32s31/bluetooth/src/passive_scanning_first.rs
driver/adapters/embassy/esp32s31-coex/Cargo.toml,driver/adapters/embassy/esp32s31-coex,open-esp-radio-esp32s31-coex-embassy,embassy-adapter-runtime,manifest,18,0,0,driver/adapters/embassy/esp32s31/coex/Cargo.toml
driver/adapters/embassy/esp32s31-coex/src/lib.rs,driver/adapters/embassy/esp32s31-coex,open-esp-radio-esp32s31-coex-embassy,embassy-adapter-runtime,rust,263,1,1,driver/adapters/embassy/esp32s31/coex/src/lib.rs
driver/adapters/embassy/esp32s31-ieee802154/Cargo.toml,driver/adapters/embassy/esp32s31-ieee802154,open-esp-radio-esp32s31-ieee802154-embassy,embassy-adapter-runtime,manifest,23,0,0,driver/adapters/embassy/esp32s31/ieee802154/Cargo.toml
driver/adapters/embassy/esp32s31-ieee802154/src/lib.rs,driver/adapters/embassy/esp32s31-ieee802154,open-esp-radio-esp32s31-ieee802154-embassy,embassy-adapter-runtime,rust,432,1,5,driver/adapters/embassy/esp32s31/ieee802154/src/lib.rs
driver/adapters/embassy/esp32s31-ieee802154/src/owner.rs,driver/adapters/embassy/esp32s31-ieee802154,open-esp-radio-esp32s31-ieee802154-embassy,embassy-adapter-runtime,rust,475,0,0,driver/adapters/embassy/esp32s31/ieee802154/src/owner.rs
driver/adapters/embassy/esp32s31-platform/Cargo.toml,driver/adapters/embassy/esp32s31-platform,open-esp-radio-esp32s31-embassy-runtime,embassy-adapter-runtime,manifest,34,0,0,driver/adapters/embassy/esp32s31/runtime/Cargo.toml
driver/adapters/embassy/esp32s31-platform/src/executor.rs,driver/adapters/embassy/esp32s31-platform,open-esp-radio-esp32s31-embassy-runtime,embassy-adapter-runtime,rust,208,0,0,driver/adapters/embassy/esp32s31/runtime/src/executor.rs
driver/adapters/embassy/esp32s31-platform/src/lib.rs,driver/adapters/embassy/esp32s31-platform,open-esp-radio-esp32s31-embassy-runtime,embassy-adapter-runtime,rust,16,0,0,driver/adapters/embassy/esp32s31/runtime/src/lib.rs
driver/adapters/embassy/esp32s31-platform/src/time_driver.rs,driver/adapters/embassy/esp32s31-platform,open-esp-radio-esp32s31-embassy-runtime,embassy-adapter-runtime,rust,178,0,0,driver/adapters/embassy/esp32s31/runtime/src/time_driver.rs
driver/adapters/embassy/esp32s31-wifi-compat/Cargo.toml,driver/adapters/embassy/esp32s31-wifi-compat,open-esp-radio-esp32s31-wifi-embassy-compat,embassy-adapter-runtime,manifest,27,0,0,driver/adapters/embassy/esp32s31/wifi-compat/Cargo.toml
driver/adapters/embassy/esp32s31-wifi-compat/src/dual.rs,driver/adapters/embassy/esp32s31-wifi-compat,open-esp-radio-esp32s31-wifi-embassy-compat,embassy-adapter-runtime,rust,259,0,0,driver/adapters/embassy/esp32s31/wifi-compat/src/dual.rs
driver/adapters/embassy/esp32s31-wifi-compat/src/lib.rs,driver/adapters/embassy/esp32s31-wifi-compat,open-esp-radio-esp32s31-wifi-embassy-compat,embassy-adapter-runtime,rust,503,0,0,driver/adapters/embassy/esp32s31/wifi-compat/src/lib.rs
driver/adapters/embassy/esp32s31-wifi-compat/tests/compatibility_bridge.rs,driver/adapters/embassy/esp32s31-wifi-compat,open-esp-radio-esp32s31-wifi-embassy-compat,embassy-adapter-runtime,test-rust,167,0,3,driver/adapters/embassy/esp32s31/wifi-compat/tests/compatibility_bridge.rs
driver/adapters/embassy/esp32s31-wifi/Cargo.toml,driver/adapters/embassy/esp32s31-wifi,open-esp-radio-esp32s31-wifi-embassy,embassy-adapter-runtime,manifest,81,0,0,driver/adapters/embassy/esp32s31/wifi/Cargo.toml
driver/adapters/embassy/esp32s31-wifi/examples/station_service.rs,driver/adapters/embassy/esp32s31-wifi,open-esp-radio-esp32s31-wifi-embassy,embassy-adapter-runtime,rust,62,0,0,driver/adapters/embassy/esp32s31/wifi/examples/station_service.rs
driver/adapters/embassy/esp32s31-wifi/src/composition.rs,driver/adapters/embassy/esp32s31-wifi,open-esp-radio-esp32s31-wifi-embassy,embassy-adapter-runtime,rust,5,0,0,driver/adapters/embassy/esp32s31/wifi/src/composition.rs
driver/adapters/embassy/esp32s31-wifi/src/composition/phy.rs,driver/adapters/embassy/esp32s31-wifi,open-esp-radio-esp32s31-wifi-embassy,embassy-adapter-runtime,rust,17,0,0,driver/adapters/embassy/esp32s31/wifi/src/composition/phy.rs
driver/adapters/embassy/esp32s31-wifi/src/composition/resources.rs,driver/adapters/embassy/esp32s31-wifi,open-esp-radio-esp32s31-wifi-embassy,embassy-adapter-runtime,rust,260,1,2,driver/adapters/embassy/esp32s31/wifi/src/composition/resources.rs
driver/adapters/embassy/esp32s31-wifi/src/datapath/irq.rs,driver/adapters/embassy/esp32s31-wifi,open-esp-radio-esp32s31-wifi-embassy,embassy-adapter-runtime,rust,20,0,0,driver/adapters/embassy/esp32s31/wifi/src/datapath/irq.rs
driver/adapters/embassy/esp32s31-wifi/src/datapath/irq/epoch.rs,driver/adapters/embassy/esp32s31-wifi,open-esp-radio-esp32s31-wifi-embassy,embassy-adapter-runtime,rust,272,0,0,driver/adapters/embassy/esp32s31/wifi/src/datapath/irq/epoch.rs
driver/adapters/embassy/esp32s31-wifi/src/datapath/irq/mac_runtime.rs,driver/adapters/embassy/esp32s31-wifi,open-esp-radio-esp32s31-wifi-embassy,embassy-adapter-runtime,rust,252,0,0,driver/adapters/embassy/esp32s31/wifi/src/datapath/irq/mac_runtime.rs
driver/adapters/embassy/esp32s31-wifi/src/datapath/irq/power_runtime.rs,driver/adapters/embassy/esp32s31-wifi,open-esp-radio-esp32s31-wifi-embassy,embassy-adapter-runtime,rust,88,0,0,driver/adapters/embassy/esp32s31/wifi/src/datapath/irq/power_runtime.rs
driver/adapters/embassy/esp32s31-wifi/src/datapath/irq/tests.rs,driver/adapters/embassy/esp32s31-wifi,open-esp-radio-esp32s31-wifi-embassy,embassy-adapter-runtime,test-rust,521,0,17,driver/adapters/embassy/esp32s31/wifi/src/datapath/irq/tests.rs
driver/adapters/embassy/esp32s31-wifi/src/datapath/mod.rs,driver/adapters/embassy/esp32s31-wifi,open-esp-radio-esp32s31-wifi-embassy,embassy-adapter-runtime,rust,619,0,0,driver/adapters/embassy/esp32s31/wifi/src/datapath/mod.rs
driver/adapters/embassy/esp32s31-wifi/src/datapath/network.rs,driver/adapters/embassy/esp32s31-wifi,open-esp-radio-esp32s31-wifi-embassy,embassy-adapter-runtime,rust,860,0,0,driver/adapters/embassy/esp32s31/wifi/src/datapath/network.rs
driver/adapters/embassy/esp32s31-wifi/src/datapath/owned_tests.rs,driver/adapters/embassy/esp32s31-wifi,open-esp-radio-esp32s31-wifi-embassy,embassy-adapter-runtime,rust,88,0,2,driver/adapters/embassy/esp32s31/wifi/src/datapath/owned_tests.rs
driver/adapters/embassy/esp32s31-wifi/src/datapath/owner.rs,driver/adapters/embassy/esp32s31-wifi,open-esp-radio-esp32s31-wifi-embassy,embassy-adapter-runtime,rust,328,0,1,driver/adapters/embassy/esp32s31/wifi/src/datapath/owner.rs
driver/adapters/embassy/esp32s31-wifi/src/datapath/paired.rs,driver/adapters/embassy/esp32s31-wifi,open-esp-radio-esp32s31-wifi-embassy,embassy-adapter-runtime,rust,1174,0,3,driver/adapters/embassy/esp32s31/wifi/src/datapath/paired.rs
driver/adapters/embassy/esp32s31-wifi/src/datapath/rx/dma.rs,driver/adapters/embassy/esp32s31-wifi,open-esp-radio-esp32s31-wifi-embassy,embassy-adapter-runtime,rust,511,0,0,driver/adapters/embassy/esp32s31/wifi/src/datapath/rx/dma.rs
driver/adapters/embassy/esp32s31-wifi/src/datapath/rx/dma/epoch.rs,driver/adapters/embassy/esp32s31-wifi,open-esp-radio-esp32s31-wifi-embassy,embassy-adapter-runtime,rust,694,0,0,driver/adapters/embassy/esp32s31/wifi/src/datapath/rx/dma/epoch.rs
driver/adapters/embassy/esp32s31-wifi/src/datapath/rx/dma/lifecycle.rs,driver/adapters/embassy/esp32s31-wifi,open-esp-radio-esp32s31-wifi-embassy,embassy-adapter-runtime,rust,783,0,0,driver/adapters/embassy/esp32s31/wifi/src/datapath/rx/dma/lifecycle.rs
driver/adapters/embassy/esp32s31-wifi/src/datapath/rx/dma/service.rs,driver/adapters/embassy/esp32s31-wifi,open-esp-radio-esp32s31-wifi-embassy,embassy-adapter-runtime,rust,715,0,0,driver/adapters/embassy/esp32s31/wifi/src/datapath/rx/dma/service.rs
